filename,door_closed,door_full_open,door_moving,door_state
2019-03-24_13-45-07_LynxPro.mp4_001.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_002.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_003.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_004.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_005.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_006.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_007.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_008.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_009.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_010.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_011.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_012.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_013.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_014.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_015.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_016.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_017.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_018.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_019.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_020.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_021.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_022.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_023.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_024.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_025.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_026.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_027.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_028.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_029.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_030.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_031.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_032.png,0,1,0,2
2019-03-24_13-45-07_LynxPro.mp4_033.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_034.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_035.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_036.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_037.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_038.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_039.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_040.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_041.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_042.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_043.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_044.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_045.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_046.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_047.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_048.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_049.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_050.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_051.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_052.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_053.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_054.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_055.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_056.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_057.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_058.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_059.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_060.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_061.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_062.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_063.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_064.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_065.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_066.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_067.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_068.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_069.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_070.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_071.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_072.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_073.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_074.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_075.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_076.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_077.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_078.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_079.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_080.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_081.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_082.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_083.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_084.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_085.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_086.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_087.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_088.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_089.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_090.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_091.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_092.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_093.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_094.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_095.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_096.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_097.png,0,0,1,3
2019-03-24_13-45-07_LynxPro.mp4_098.png,0,0,1,3
